run,run_dir,final_lattice_code,BC_deloc_code,nframes,final_crystal_shape,BC_spatial_distribution,other_notes,gr_messiness,weird_features,how_initialized,kT,EE,chain_num,linker
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_4_chn_num_3_linker_6,chain_len,BCC,NA,136,BCC,vrey spread out crosses,none,very broad peaks,none,BCC,1.3,4,3,6
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_5_chn_num_3_linker_8,chain_len,BCC,NA,136,BCC,crosses,coord num for first and second nearest neighbors 14,broad peaks,,BCC,1.3,5,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_4_chn_num_3_linker_6,chain_len,BCC,high,136,BCC,very messy crosses,second peak is hard to see;lots of AC motion (phonons??),"broad peaks, overlapping",none,BCC,1.5,4,3,6
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_5_chn_num_3_linker_8,chain_len,BCC,medium,136,BCC,messy crosses,coord num of first and second nearest neighbors 14,broad peaks,,BCC,1.5,5,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.1_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,NA,136,mixture BCC/FCC,"","","","",BCT,1.1,8,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.3_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,NA,136,very messy mixture BCT/FCC,"","",very broad and overlapping peaks,"",BCT,1.3,8,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.5_eps_-70_EE_8_chn_num_3_linker_8,chain_len,FCC,medium,136,FCC,messy interlocking hexes,FCC peaks,"almost pristine, broad peaks",none,BCT,1.5,8,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.1_eps_-70_EE_10_chn_num_3_linker_8,chain_len,FCC,high,108,FCC,very messy crosses,coord num 12,"FCC peaks, broad peaks",none,FCC,1.1,10,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.1_eps_-70_EE_8_chn_num_3_linker_10,chain_len,BCT,medium,110,BCT,messy-ish crosses,none,"FCC peaks, almost pristine",none,FCC,1.1,8,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.1_eps_-70_EE_8_chn_num_3_linker_12,chain_len,BCT,NA,78,BCT,crosses,none,"FCC peaks, almost pristine",none,FCC,1.1,8,3,12
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.3_eps_-70_EE_10_chn_num_3_linker_8,chain_len,FCC,high,74,FCC,delocalized,none,broad peaks,none,FCC,1.3,10,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.3_eps_-70_EE_8_chn_num_3_linker_10,chain_len,FCC,medium,103,FCC,"localized, slightly messy Xs",none,almost pristine,none,FCC,1.3,8,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.3_eps_-70_EE_8_chn_num_3_linker_12,chain_len,FCC,low,74,FCC,"localized, interlocking hexes, Xs",none,almost pristine,none,FCC,1.3,8,3,12
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.5_eps_-70_EE_8_chn_num_3_linker_10,chain_len,FCC,NA,97,FCC,"Xs, interlocking hexes",none,medium pristine,none,FCC,1.5,8,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.5_eps_-70_EE_8_chn_num_3_linker_12,chain_len,FCC,NA,69,FCC,"Xs, interlocking hexes",none,pristine,none,FCC,1.5,8,3,12
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.1_eps_-70_EE_3_chn_num_3_linker_8,chain_len,no ID,NA,136,"two lattices, no ID",offset lines -> offset hexes,"starts as one lattice, converts to another around frames 40-50","almost pristine, maybe extra peaks",transition in middle,SC,1.1,3,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.3_eps_-70_EE_3_chn_num_3_linker_8,chain_len,no ID,NA,136,"lattice, no ID ",offset hexes,(looks kinda hexy but can't tell); not sure if IDed all peaks right,"almost pristine, broadish peaks",none,SC,1.3,3,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.2_eps_-70_EE_8_chn_num_3_linker_8,chain_len,no ID,high,136,messy lattice no ID,very messy interlocked hex,none,has BCC peaks but with different amplitudes,seems to have some mixture of another lattice but it is unclear,BCT,1.2,8,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.4_eps_-70_EE_8_chn_num_3_linker_8,chain_len,FCC,high,136,FCC,very messy interlocked hex,none,"FCC peaks, broad peaks",none,BCT,1.4,8,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.6_eps_-70_EE_8_chn_num_3_linker_8,chain_len,FCC,high,136,FCC,very messy interlocked hex,none,"FCC peaks, broad peaks",none,BCT,1.6,8,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.2_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,NA,136,SC,squares,peaks overlapping a little bit,pristine,none,BCC,0.2,7,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.3_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,NA,136,SC,squares,coord num 6,pristine,none,BCC,0.3,7,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.4_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,NA,136,SC,squares,coord num 6,pristine,none,BCC,0.4,7,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.5_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,NA,136,SC,squares,coord num 6,pristine,none,BCC,0.5,7,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.6_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,NA,136,SC,squares,coord num 6,pristine,none,BCC,0.6,7,3,8
