run,run_dir,final_lattice_code,BC_deloc_code,nframes,final_crystal_shape,BC_spatial_distribution,other_notes,gr_messiness,weird_features,how_initialized,kT,EE,chain_num,linker
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_4_chn_num_3_linker_6,chain_len,BCC,NA,136,BCC,vrey spread out crosses,none,very broad peaks,none,BCC,1.3,4,3,6
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_4_chn_num_3_linker_6,chain_len,BCC,high,136,BCC,very messy crosses,second peak is hard to see;lots of AC motion (phonons??),"broad peaks, overlapping",none,BCC,1.5,4,3,6
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.9_eps_-70_EE_4_chn_num_3_linker_10,"",BCC,high,136,BCC,very messy crosses,double coord num 14,BCC peaks; broad peaks,none,BCC,1.9,4,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.7_eps_-70_EE_4_chn_num_3_linker_10,"",BCC,high,136,BCC,very messy crosses,double coord num 14,"BCC peaks, broad peaks",none,BCC,1.7,4,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.1_eps_-70_EE_4_chn_num_3_linker_10,"",BCT,low,136,BCT,localized in weird line things,"ccord num 4, triple coord num 16","unkown peaks, almost pristine peaks",tetragonal sim box,BCC,1.1,4,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.8_eps_-70_EE_4_chn_num_3_linker_6,"",BCT,low,135,BCT,"localized """"point"""" regions to hopping regions",triple coord num 16,"BCT peaks, initial triple peak, broad peaks",,BCC,0.8,4,3,6
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.7_eps_-70_EE_4_chn_num_3_linker_6,"",BCT,low,135,BCT,"localized """"point"""" regions to hopping regions",coord num 10,"BCT peaks, pristine peaks",does not have clumped triple peak,BCC,0.7,4,3,6
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_4_chn_num_3_linker_10,"",BCT,NA,135,BCT,pristine sublattice,triple coord num 16,"BCT peaks, triple peak",none,BCC,1.5,4,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.6_eps_-70_EE_4_chn_num_3_linker_10,"",mixture,NA,135,coexistance BCT/messy lattice,pristine sublattice,triple coord num 16,"BCT peaks, triple peak","displaces lattice points, maybe onset of transition between BCT and BCC",BCC,1.6,4,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.9_eps_-70_EE_4_chn_num_3_linker_6,"",BCT,NA,135,BCT,ordered sublattice,triple coord num 16,"BCT peaks, triple peak",none,BCC,0.9,4,3,6
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.1_eps_-70_EE_4_chn_num_3_linker_6,"",BCC,high,135,BCC,very messy croses,double coord num 14,"BCC peaks, broad peaks",none,BCC,1.1,4,3,6
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.4_eps_-70_EE_4_chn_num_3_linker_10,"",BCT,medium_low,135,BCT,neat sublattice,triple coord num 16,"BCT peaks, triple peaks",none,BCC,1.4,4,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_4_chn_num_3_linker_10,"",NA,NA,135,deformed BCT (?),ordered sublattice,triple coord num 16,"BCT peaks, triple peaks",BCT with offset lattice points that seem to create two large BCT domains,BCC,1.3,4,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.4_eps_-70_EE_4_chn_num_3_linker_6,"",BCC,high,135,BCC,very messy crosses,double coord num 14,"BCC peaks, broad peaks",none,BCC,1.4,4,3,6
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.2_eps_-70_EE_4_chn_num_3_linker_6,"",BCC,high,135,BCC,very messy crosses,double coord num 14,"BCC peaks, broad peaks",none,BCC,1.2,4,3,6
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.2_eps_-70_EE_4_chn_num_3_linker_10,"",BCT,medium_low,135,BCT,neat sublattice,triple coord num 16,"BCT peaks, triple peaks",none,BCC,1.2,4,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.7_eps_-70_EE_4_chn_num_3_linker_7,"",mixture,NA,386,jammed mixture,,double coord num 8,almost pristine peaks but convoluted,mixture(?),BCC,0.7,4,3,7
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.9_eps_-70_EE_4_chn_num_3_linker_7,"",no ID,medium_low,386,lattice no ID,neat,quadruple coord num 16,messy BCT peaks,deformed BCT (?),BCC,0.9,4,3,7
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_4_chn_num_3_linker_12,chain_len,no ID,NA,136,"lattice, no ID",4-point diamonds/offest squares,BCT??,almost pristine,none,BCC,1.3,4,3,12
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_4_chn_num_3_linker_7,chain_len,BCC,medium,136,BCC,"crosses, a little messy",none,very broad peaks,none,BCC,1.3,4,3,7
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_4_chn_num_3_linker_8,chain_len,BCT,medium,136,BCT,"kind of messy 4-point diamonds/offest squares, slanted BCT","starts messy, becomeslattice","almost pristine, peaks a little broad",none,BCC,1.3,4,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_4_chn_num_3_linker_12,chain_len,no ID,low,136,"lattice, no ID",localized in weird line things,BTC? box is tilted,almost pristine,none,BCC,1.5,4,3,12
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_4_chn_num_3_linker_7,chain_len,BCC,high,136,BCC,very messy crosses,second peak is hard to see,"broad peaks, overlapping",none,BCC,1.5,4,3,7
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_4_chn_num_3_linker_8,chain_len,BCC,high,136,BCC,very messy crosses,second peak is hard to see but there,"broad peaks, overlapping",none,BCC,1.5,4,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.9_eps_-70_EE_4_chn_num_3_linker_10,"",fluid,low,136,"lattice, no ID (prsence of jammed planes)",localized in weird line things,quadruple coord num 16,overlapped peaks but indentifiable ones,tetragonal sim box,BCC,0.9,4,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.7_eps_-70_EE_4_chn_num_3_linker_10,"",NA,medium_low,136,HCP type llatice with insterted layer of ACs,"region dependent, neat sublattices",double coord num 8,crystalline peaks,"maybe NiAs, peaks: 10.4, 11.5, 14.4, 18, 18.3",BCC,0.7,4,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.5_eps_-70_EE_4_chn_num_3_linker_10,"",fluid,medium_low,136,jammed lattice no ID,neat sublattice,"coord num 8, double coord num 18",FCC/SC peaks,jammed but has crystalline peaks,BCC,0.5,4,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.3_eps_-70_EE_4_chn_num_3_linker_10,"",SC,low,136,SC,very neat squares,"coord num 6, double coord num 18",FCC/SC peaks,triclinic sim box,BCC,0.3,4,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.1_eps_-70_EE_4_chn_num_3_linker_10,"",fluid,NA,136,HEX possibly jammed,jammed sublattice,"coord num 8, double coord num 18",FCC/SC peaks,"jammed but has crystalline peaks, offset  2D square packed layers",BCC,0.1,4,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.39_eps_-70_EE_4_chn_num_3_linker_8,"",BCT,medium_low,135,BCT,neat sublattice,triple coord num 16,"BCT peaks, triple peak",none,BCC,1.39,4,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.37_eps_-70_EE_4_chn_num_3_linker_8,"",BCT,medium_low,135,BCT,neat sublattice,triple coord num 16,"BCT peaks, triple peak",transforms by shearing from BCC to BCT at frame 41,BCC,1.37,4,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.38_eps_-70_EE_4_chn_num_3_linker_8,"",BCT,medium,135,BCT,messy sublattice,triple coord num 16,"BCT peaks, triple peak",transforms by shearing from BCC to BCT at frame 20,BCC,1.38,4,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.36_eps_-70_EE_4_chn_num_3_linker_8,"",BCT,NA,135,BCT,ordered sublattice,triple coord num 15.9,"BCT peaks, triple peak, very broad peaks",seems a little deformed,BCC,1.36,4,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1_eps_-70_EE_4_chn_num_3_linker_8,"",NA,medium,135,BCT and defects,messy sublattice and ordered sublattice,triple coord num 16,"BCT peaks, broad peaks",lines that separte the crystal in domains,BCC,1,4,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.35_eps_-70_EE_4_chn_num_3_linker_8,"",BCT,medium_low,135,BCT,neat sublattice,triple coord num 16,"BCT peaks, triple peaks",none,BCC,1.35,4,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.325_eps_-70_EE_4_chn_num_3_linker_8,"",BCT,medium_low,135,BCT,neat sublattice,triple coord num 16,"BCT peaks, triple peaks",none,BCC,1.325,4,3,8
