run,run_dir,final_lattice_code,nframes,final_crystal_shape,BC_spatial_distribution,use_anneal,other_notes,gr_messiness,weird_features,how_initialized,kT,EE,chain_num,linker
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.3_eps_-70_EE_8_chn_num_3_linker_8,chain_len,SC,136,SC,squares,"",none,pristine,none,BCC,0.3,8,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.5_eps_-70_EE_8_chn_num_3_linker_8,chain_len,SC,136,SC,squares,"","",almost pristine (weird bump),"something like a grain boundary, SC on both sides but messy in the middle (maybe jammed that way)",BCC,0.5,8,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.7_eps_-70_EE_8_chn_num_3_linker_8,chain_len,jammed,136,BCTsqrt5a,"ordered, not ID","",maybe BCT?,"crystal like, seems that a transition is abound",none,BCC,0.7,8,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.0_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,136,mixture,very messy homogenous region to neat crosses,"",stabilizes till frame 80,"BCCish peaks, broad and overlapping peaks","",BCC,1,8,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.1_eps_-70_EE_6_chn_num_3_linker_6,chain_len,BCC,136,BCC,crosses,"",5th peak seems to be off,almost pristine,none,BCC,1.1,6,3,6-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_10_chn_num_3_linker_6,chain_len,fluid,136,fluid,homogenous,"","",liquid,"",BCC,1.3,10,3,6-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_10_chn_num_3_linker_8,chain_len,FCC,126,FCC,"delocalized, ressembles BCT sublattice",yes,coord num 12,"FCC peaks, broad peaks with peak values",none,BCC,1.3,10,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_4_chn_num_3_linker_12,chain_len,BCTsqrt5a,136,BCTsqrt5a,4-point diamonds/offest squares,"",BCT??,almost pristine,none,BCC,1.3,4,3,12-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_4_chn_num_3_linker_7,chain_len,BCC,136,BCC,"crosses, a little messy","",none,very broad peaks,none,BCC,1.3,4,3,7-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_4_chn_num_3_linker_8,chain_len,BCT2a,136,BCT2a,"kind of messy 4-point diamonds/offest squares, slanted BCT","","starts messy, becomeslattice","almost pristine, peaks a little broad",none,BCC,1.3,4,3,8-BCC
